判定,No.,カテゴリ,掲載日,タイトル,問題,解答,
,1,経営,2024/4/1,"カーボンニュートラル推進統括メッセージ
?新中期経営計画2026におけるカーボンニュートラルの位置付けについて?","24/4/1付にてカーボンニュートラル推進統括に就任：坂梨　興
テーマ：中期経営計画2023の振り返りと中期経営計画2026に対する考え

・中期経営計画2023の振り返り＝重点戦略として掲げた未来価値の共創、企業ステージ向上がまさに実現されたと実感！
→2021年にカーボンニュートラルビジョンの発信
：メタネーションを軸とする［①］や、再生可能エネルギー導入による［②］を通じ、2050年にカーボンニュートラルを目指すことを宣言
→2021年3月 ［③］
：2023年度末の目標として、［④］を設定し、SOECメタネーションなどのカーボンニュートラルに貢献する技術開発を進める
→2023年1月　［⑤］を対外公表
：［⑥］など、2030年に向けたトランジションの道筋を示した
→2023年11月　目標の250万kwを早期達成し、2023年末には300万kwに達する見込み
→e-メタン導入：国内外の［⑦］を立ち上げ、社会実装に向けた準備が進む
→技術開発：SOCEメタネーションが［⑧］され、［⑨］が大阪・関西万博で実証を行うことが決まる等、多様な選択肢を具体化

・中期経営計画2026＝2024-26年を2030年のカーボンニュートラル化の加速に向けた基盤構築する期間として、「⑩」と位置付け！
→チャレンジングな目標を設定
：再エネ普及貢献量［11］や、e-メタンの［12］を目指す

・皆さんに期待すること
①それぞれの業務において、中長期的に目指す姿を明確化しよう
②Daigasグループの持つリソースを活かし、付加価値を最大化することを考え続けよう
③未来をつくるために必要な実力を着実に身につけよう
→これらを意識するすることで、「今日の安心をまもり、未来の日常をつくる」ことを挑み続き、新たなソリューションの創造・カーボンニュートラル化の社会実装に取り組んでいきたい","①都市ガス原料の脱炭素
②電源の脱炭素化
③中期経営計画2023 Creating Value for a Sustainable Future
④再生可能エネルギー普及貢献量250万kw
⑤エネルギートランジション2023
⑥e-メタンの2030年1%導入
⑦大規模製造プロジェクト
⑧グリーンイノベーション基金に選定
⑨バイオメタネーション
⑩志を体現し、未来に橋を架ける（＝Connecting Ambitious Dreams）=CAD2026
11. 400万kw
12. サプライチェーンプロジェクトの最終投資判断
13. 未来に橋を架ける",
,2,経営,2024/4/1,技術統括メッセージ?技術を通じて未来を作ろう?,"24/4/1付にてカ技術統括に就任：坂梨　興
テーマ：技術を通じて「未来の日常」の創造にチャレンジしていただく皆さんへの期待

◯低・脱炭素社会の実現に向けた取り組みの推進
［①］：化石燃料からの脱却が合意され、より気候変動への対応が求められる
→我々の対応① 「②」への重点的な取り組み
：メタネーション技術の開発（新潟県長岡市での実証実験を行うプラント建設（INPEX合同）、万博でのe-メタン実証に向けた舞洲清掃工場での実証実験プラント移設）、SOCEメタネーション（ベンチスケール試験機の建設）
→我々の対応② トランジション期における天然ガスが担う役割の確保（「今日の安心」）

◯成長に向けた体制強化
4月にて技術関連組織の変更
→ガス製造・発電・エンジニアリング部から［③］の独立させて事業部化
→イノベーション本部と新規事業開発部を［④］として集約","①COP28
②ガス体エネルギーのカーボンニュートラル化
③電力事業部
④事業創造本部",
,3,経営,2024/4/1,リスク管理統括就任にあたって,"24/4/1付にてリスク管理統括に就任：坂梨　興
テーマ：不確実性の高い環境下での事業領域拡大のために

・CAD2026の中でガバナンス体制強化の一環として
→［①］や［②］の新設を掲げ、Daigasグループのリスクを包括的に管理していくことを宣言
→グループ共通規程として「③」を新たに制定し、経営が関与すべき重要リスクについても選定

・しかし、体制やルールを設けただけでリスクに対する備えが万全にはならない
ex.災害リスク、コンプライアンスリスク、為替等の市場リスク、脱炭素等の環境リスク、人口減少やお客様意識の変化等の需要変動
　  等、リスクは多岐に及ぶ
→これらに対応するには、一人一人の気づきと心がけが重要！","①リスク管理委員会
②リスク管理統括
③リスク管理規程",
,4,経営,2024/4/2,"松原事故30年にあたって
?お客さま・仲間・自身の安全を第一に、保安を創る?","1994/4/2 大阪府松原市でガス漏れ修繕工事時に爆発事故が発生し、当時１歳のお子様が亡くなり、6名が負傷した痛ましい事故が発生した。
当時は、ガス漏れ修繕工事の際でも、お客様を避難させずに修繕していた。
しかし、松原事故以降は、ご迷惑であってもお客様の安全を最優先にするとの考えに改まり、
［①］からなる「②」が定められた。

エネルギー事業者としての使命・責任は、お客様の安心・安全の確保とエネルギーの安定供給であるが、
大前提は「お客さまはもちろん、我々の仲間、自分自身の安全を第一とする」ことである。","①避難誘導、ガス遮断、着火防止
②保安三原則",
,5,経営,2024/6/1,"夏季保安点検活動の実施にあたって
?「安心・安全、安定供給」のために保安の地力を高め続ける?","「安心・安全、安定供給」は私たち事業の根幹であり、私たちの「一丁目一番地」
「①」と「②」の視点で「保安の地力を高める」取り組みになっているかを点検すること","①人
②組織",
,6,経営,2024/6/5,"環境月間メッセージ
?今日の自然を、未来にも?","2024年1月　世界経済フォーラム（WEF）より「今後10年のグルーバルリスク」が発信されたが、トップ10のうち内5つが環境関連であった
→異常気象や気候の転換点、生物多様性の喪失や天然資源不足、大気や土壌、水の汚染等
→私たちの生活やビジネスは自然資本により成り立っており、自然の恩恵なしに継続的な事業は成り立たない

・Daigasグループの自然保護の取り組み
：［①］を運用し、事業活動での環境負荷低減や環境法令の遵守の徹底を図る
：Daigasグループ環境方針に基づき、自らの事業における環境負荷を低減する目標（②）を定め、取り組みを進める。
　ex.３R推進（産業廃棄物や一般廃棄物、ガスメーター・PE管の再資源化を進める。ガス道管工事ではFK推進）
　また、環境目標も中期経営計画に合わせ、2024年度から更新し、「③」を取り入れる","①環境マネジメントシステム（EMS）
②環境目標
③水質汚染の防止",
,7,経営,2024/8/1,"コンプライアンスの重要性再確認月間
ESG推進統括メッセージ
?相談は、遅れず　隠さず　ためらわず?","「風通しの良い職場とは何か？」を考える
＝職場内の円滑なコミュニケーションが重要

信頼・敬意・配慮をもって他者と接する
2024年度のコンプライアンス標語の最優秀賞となった「相談は、遅れず 隠さず ためらわず」を体現する「風通しのよい職場」づくりに向けて、グループ全員が努めていきましょう。",,
,8,経営,2024/10/1,"技術統括メッセージ
?2024年度下期を迎えるにあたって?","メッセージ：不確実性が増している事業環境で、先進的な技術開発により社会課題に取り組み、「①」私たちの活動を着実に進めていかなければならない。

・今日の安心をまもる活動
エネルギーの不安定化・自然災害の甚大化
→エネルギーの安定供給と災害に強い機器やエネルギーシステムの普及
ex.エネファームの累計販売台数20万台到達（4月）

・未来の日常を作る活動
ex.ガス体エネルギーのカーボンニュートラル化に向けて、国プロとして進めている長岡でのサバティエメタネーション実証プラント建設、バイオガスを活用したメタネーションは舞洲での実証実験を終え大阪万博開場への移設、SOECメタネーション要素技術開発のスケールアップ、水素サプライチェーンの構築に向けた取り組み（400kWガスエンジンコジェネシステムでの水素混焼率30％での実証運転試験の成功）、バイオものづくり（化石資源を原料とした製造プロセスからの代替）

・10月：カーボンニュートラルリサーチハブが開設３周年
・中期ローリング議論の開始",①今日の安心を守り、未来の日常をつくる,
,9,経営,2024/11/1,"冬季保安点検活動の実施にあたって
?現場点検の肝を意識した点検で保安強化を図る?","12/1から2/28までの冬季保安点検活動の思い

１夏季保安点検活動の振り返り
夏季保安点検活動の視点：「人」と「組織」の視点で保安の地力を高める取り組みになっているか？

２冬期の活動として特にお願いしたいこと
実際の業務や現場作業において「1人ひとりが肝となるポイントを把握しているか」、「その背景（意味・目的）を理解しているか」、そして「確実に実施できているか」、現場・現物・現実に焦点を当てた点検を実施し、保安強化に繋げる。
また、それらの肝となるルールなどが、実施する人にとって納得感があるかという視点で気になる点があれば見直しする。

☆「安心・安全、安定供給」",,
,10,経営,2025/1/17,"阪神・淡路大震災から30年を迎えて
?経験からの学びと新たな学びで災害への備えを?","1995/1/17：阪神淡路大震災、6000人以上死亡・60万棟以上の建物被害

◯30年でハード面・ソフト面で様々な地震対策をしてきた
・ガス道管の耐震化率約［①］％
・マイコンメーター普及率約［②］％、機器にも地震に対する安全機能を搭載
・東日本大震災後は津波対策も行う
・［③］を定め、全社訓練や各社におけるキーパーソン訓練なども継続的に実施し、震災復旧の技能伝承に努める

「今日の安心をまもり、未来の日常をつくる」という志を胸に、引き続き「災害への備え」を着実に実施していきましょう！","①90
②100
③災害対策要員",
