No.,タイトル,問題,解答
1,2025年度経営計画,"私たちDaigasグループは、中期経営計画2026において、［①］という志を旨に、重点戦略である3つの約束「②」、「③」、「④」を通じ、足下の変化と未来の社会課題の解決に取り組んでいくことを宣言する。
その中で2月18日に第7時エネルギー基本計画が閣議決定されたことを期に、当社は、「⑤」を公表しました。
・熱エネルギーに対しては、低炭素となる［⑥］の普及＋脱炭素となる［⑦］の開発を進める。
・電気エネルギーについては、［⑧］の開発・普及＋［⑨］のゼロエミッション化を進める。","①今日の安心を守り、未来の日常を創る
②未来価値の共創
③従業員の輝き向上
④経営基盤の進化
⑤エネルギートランジション2050
⑥天然ガス
⑦e-メタン
⑧再エネ
⑨火力電源"
2,2025年度経営計画,"●未来価値の共創：e-メタンおよび再エネにかする直近の活動状況
・ガス：［①］の開発プロジェクトにおて、ベンチスケールへの移行を進める他、［②］にてe-メタンの実証に取り組みます。
　　　　　また、2030年のe-メタン［③］%導入に向けた［④］でのe-メタン製造プロジェクトについて基本設計に移行します。　
・電気：［⑤］の運転開始などにより、他社からの調達を含めた再エネの普及貢献量は［⑥］キロワットに到達見込みです。　
　　　　　2030年度に［⑦］キロワットの達成を目指します。

●従業員の輝き向上
・2025年度は、新卒＋キャリア採用を［⑧］名に拡大する計画です。

●経営基盤の進化
・［⑨］による事業変革を進めていきます。
・［⑩］の運転を24時間全自動で最適化するシステムを開発＋［⑪］を増強することで、更なる事業変革を促進します。","①SOECメタネーション
②長岡、大阪・関西万博
③1
④米国
⑤日向・愛知田原バイオマス発電所
⑥369万
⑦500万　
⑧364
⑨DX
⑩千里発電所
⑪中核人材"
3,2025年度経営計画,"●国内エネルギー事業の計画
＜家庭用＞
　エネファームの2009年移行の累計販売台数が［①］台を突破。［②］の普及拡大を見据えて他社協業や電気料金メニューも新設。
＜業務用・産業用部門＞
　・［③］への燃料転換提案を進めており、2024年度は約6万トン規模の［④］を受注。
　・工場の［⑤］プロセスでのCO2削減に寄与する［⑥］をリリースするなど、今後の［⑦］を中心としたエネルギーサービスの販売拡大。
　・2025年度のガス・電力販売規模は、ガス販売量は［⑧］立方メートル、ガス供給件数は［⑨］件、
　　電力販売量は［⑩］キロワットアワー、低圧電気供給件数は［⑪］件を計画。","①20万
②EV
③天然ガス
④LNG燃料転換工事
⑤脱臭
⑥D-Remove
⑦D-Lineup
⑧66億
⑨510万
⑩166億
⑪208万"
4,2025年度経営計画,"●国内エネルギー事業の今後の展開
＜家庭用＞
　・従来のガス機器＋［①］などを［②］でつなぎ、ガス・電気のベストミックスによるエネルギーマネジメントを行うことで、スマートで快適な暮らしを目指す。
　・導入コスト0円から始めらっれる太陽光発電サービス［③］の全国での販売強化や、［④］において新たねメニューを追加することで住空間のサービス向上。
＜業務用・産業用部門＞
　・［⑤］の展開：お客様の課題を［⑥］［⑦］［⑧］の3つの視点で解決するソリューションサービス
　・2026年度のお客様アカウント件数［⑨］件の達成を目指す。","①太陽光・EV
②IoT
③住まいルーフ
④住みカタ・サービス
⑤D-Lineup
⑥カーボンニュートラル
⑦3R
⑧DX
⑨1,090万"
5,2025年度経営計画,"●国内発電事業
　・2024年度、［①］による［②］を落札。［③］年度の運転開始を目指し建設中。
　・［④］発電所について、［⑤］が2025年度に稼働し、当社の［⑥］つの［④］発電所が全て運転を開始することになる。
　・［⑦］年1月には、姫路発電所の1号機が運転開始。5月に2号機が運転開始予定であり、当社の火力発電能は現在［⑧］倍となる。
　・LNGの調達から販売までのバリューチェーンを保有しているため、安定調達・調達コストの抑制・トレー利益獲得を実現。
　　また、当社が100%出資する［⑨］のバッテリー技術も活用して、［⑩］の活用の拡大に取り組む。
　　これらを束ねた［⑪］化を進め、将来的に［⑩］事業者のトッププレイヤーを目指す。","①姫路発電所3号機
②長期脱炭素電源オークション
③2030
④バイオマス
⑤袖ケ浦・和歌山御坊
⑥8
⑦2026
⑧1.6
⑨KRI
⑩蓄電池"
6,2025年度経営計画,"●国内エネルギー事業（エネルギーサプライチェーン）
＜トレーディング部門＞
　・調達先分散の一環として、［①］の［②］社とLNG調達契約を実施。
＜ガス・製造エンジニアリング部門＞
　・［③］向けのLNG燃料供給事業に関し、陸上ターミナルからLNGを供給する［④］方式での設備工事を行い、事業開始を目指す。
＜ネットワーク部門＞
　・ガス安全高度化計画において対策目標であった［⑤］について、1年前倒しで対策完了。PE管については、約［⑥］kmまで達成する見込み。　
　・スマートメーターについては、［⑦］年度から全戸への設置を進めており、2025年度からは［⑧］の活用を開始。
　 3Dの施工図面を自動作成するアプリの開発。","①アブダビ
②ADNOC（アドノック）
③船舶
④Shore to Ship
⑤ねずみ鋳鉄管
⑥19,000
⑦2023
⑧通信機能"
7,2025年度経営計画,"●海外エネルギー事業
　・北米シェールガス開発事業を担う［①］社では、シェールガス鉱区の取得、生産量拡大を実施。
　・アジアでは、都市ガスのインフラ整備を実施。2025年度事業エリアを日本の国土の約［②］割に相当する32万平方kmに拡大。
　　計画販売量は［③］立方メートルで、2030年度には当社グループの国内販売量の約［④］割となる［⑤］立法メートルを目指す。","①サビン
②9
③32万
④5
⑤35億"
8,2025年度経営計画,"●LBS事業
　・都市ビジネスについて、主力の［①］事業が好調に推移。［②］などの領域開拓を目指す。
　・情報ビジネスについて、［③］を基盤として［④］事業を展開する［⑤］グループの事業を取得。今後、［⑥］エリアでの展開を行う。
　・材料ビジネスについて、［⑦］関連や［⑧］の市況が回復。
　・技術開発について、メタネーション＋高効率な［⑨］システムの実証実験を開始。","①賃貸・分譲マンション
②都市圏オフィス・物流
③フィリピン
④ERP
⑤Fasttrack Solution（ファストトラックソリューション）
⑥東南アジア
⑦半導体
⑧無機系材料
⑨Dac"
9,2025年度経営計画,"●関西万博
　・e-メタンの実証実験
　・［①］さまと協力し、環境価値の管理・移転が可能となるシステム［②］を開発・実証する
　・ガスパビリオンでは、放射冷却素材［③］が建物の外膜に採用されており、外気温より低い温度を実現できるゼロエネルギーの素材を活用。","①三菱重工業
②Co2NNEX（コネックス）
③SPACECOOL"
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
