決算,,
No.,問題,解答
1,2024年度の売上高は？,"20,690億（前年比-140億）"
2,2024年3月期の国内エネルギー事業のセグメント売上高の実績額は？,"17,379億（前年比-327億）"
3,2024年3月期の海外エネルギー事業のセグメント売上高の実績額は？,"1,281億（前年比+117億）"
4,2024年3月期のLBS事業のセグメント売上高の実績額は？,"2,824億（前年比+84億）"
5,2024年度売上高の減収要因は？,LNG販売量の減少、原料費調整制度に基づきガス販売単価が低めに推移したこと
6,2024年度の営業利益の実績は？,1607億（前年比-118億）
7,2024年度の経常利益の実績は？,"1,896億（前年比-369億）"
8,2024年度経常利益の減益要因は？,国内エネルギー事業でタイムラグ差益が縮小したため
9,2024年3月期の国内エネルギーのセグメント利益の実績額は？,775億（前年比-147億）
10,2024年3月期の国内エネルギー事業のセグメント利益のうち電力事業の実績額は？,411億（前年比+96億）
11,2024年3月期の海外エネルギー事業のセグメント利益の実績額は？,719億（前年比-77億）
12,2024年3月期のLBS事業のセグメント利益の実績額は？,287億（前年比-22億）
13,2024年度の親会社株主に帰属する当期純利益の実績は？,"1,344億(＋17億)"
14,2024年度の親会社株主に帰属する当期純利益の増益要因は？,政策保有株式の売却による特別収益のため
15,2024年度のROICの値は？,5.4%（-1.6%）
16,2024年度のROEの値は？,8.2%（-0.7%）
17,2024年度の自己資本比率は？,55.5%（-0.4%）
18,2024年度のD/E比率は？,0.50（-0.01）
19,2024年度の配当額（円/株）は？,95.0（+12.5）
20,2024年度の国内エネルギーの昨年度と比較した経常利益額は？,△147億（922→775）
21,2024年度の海外エネルギーの昨年度と比較した経常利益額は？,△77億（796→719）
22,2024年度のLBS事業の昨年度と比較した経常利益額は？,△22億（310→287）
23,ROIC・ROEの2027/3期の目標は？,ROIC：5%　ROE：8%
24,ROIC・ROEの2030/3期の目標は？,ROIC：6%　ROE：10%
25,2024年度の国内エネルギー事業の売上高は？,"17,379億"
26,2024年度の海外エネルギー事業の売上高は？,"1,281億"
27,2024年度のLBS事業の売上高は？,"2,824"
28,2024年度の国内エネルギーのセグメント利益は？,775億
29,2024年度の海外エネルギーのセグメント利益は？,719億
30,2024年度のライフ&ビジネスソリューションのセグメント利益は？,287億
31,2024年度のEBITAは？,"3,089億"
32,2024年度のNOPATは？,"1,387億"
33,2024年度の原油価格（$/bbl）の実績は？,82.4
34,2024年度の為替（円/$）は？,152.6
35,2024年度の投資額の実績額は？,"2,831億（前年比+435億）"
36,2024年度の品質向上投資額の実績額は？,737億
37,2024年度の成長投資の実績額は？,"2,094億（前年比+431億）"
38,2024年度の国内エネルギー事業の成長投資の実績額は？,341億
39,2024年度の海外エネルギー事業の成長投資の実績額は？,"1,129億"
40,2024年度のLBS事業の成長投資の実績額は？,623億
41,2024年度の設備投資額は？,"2,217億"
42,2024年度の減価償却費は？,"1,275億"
43,2024年度の営業活動によるキャッシュフローは？,"2,836億"
44,2024年度の投資活動によるキャッシュフローは？,"2,566億"
45,2024年度の大阪ガスの総資産の実績値は？,"32,005億（前年比+2,203億）"
46,2024年度の大阪ガスの自己資本の実績値は？,"16,887億（前年比+1,112億）"
47,2024年度の大阪ガスの株主資本の実績値は？,"13,020億（前年比+556億）"
48,2024年度の有利子負債の実績値は？,"9,724億（前年比+341億）"
49,2024年度のROICの実績値は？,ROIC：5.4%（前年比-1.6%）
50,2024年度の国内エネルギー事業のROICの実績値は？,4.2%
51,2024年度の海外エネルギー事業のROICの実績値は？,7.5%
52,2024年度のLBS事業のROICの実績値は？,5.3%
53,2024年度のROEの実績値は？,8.20%
54,2024年度のお客さまアカウント件数は？,"10,711千件（前年比+327千件）"
55,2024年度のガスのお客さまアカウント件数は？,"5,434千件（前年比+102千件）"
56,2024年度の電気のお客さまアカウント件数は？,"2,448千件（前年比+165千件）"
57,2024年度の国内ガス販売量は？,"6,650百万m3（前年比+4百万m3）"
58,2024年度の家庭用のガス販売量(m3)は？,"1,659百万m3（前年比-62百万m4）"
59,2024年度の業務用のガス販売量(m3)は？,"4,992百万m3（前年比+67百万m5）"
60,2024年度のガス供給件数は？,"5,114千件（前年比+65千件）"
61,2024年度の国内電力販売量は？,"16,982百万kWh（前年比+1674百万kWh）"
62,2024年度の低圧電気供給件数は？,"1,922千件（前年比+87千件）"
63,2024年度の平均気温は？,18.2℃（前年比+0.3℃）
64,2026年3月期の売上高見通しは？,"20,400億（前年比-290億）"
65,2026年3月期の営業利益見通しは？,"1,390億（前年比-217億）"
66,2026年3月期の経常利益見通しは？,"1,650億（前年比-246億）"
67,2026年3月期の親会社株主に帰属する当期純利益見通しは？,"1,270億（前年比-74億）"
68,2026年3月期のROIC見通しは？,5.1%（-0.3%）
69,2026年3月期のROE見通しは？,7.6%（-0.7%）
70,2026年3月期の自己資本比率の見通しは？,51.2%（-1.6%）
71,2026年3月期のD/E比率（倍）の見通しは？,0.64（+0.06）
72,2026年3月期の国内エネルギー事業の経常利益の見通しは？,675億（-100億）
73,2026年3月期の海外エネルギー事業の経常利益の見通しは？,610億（-109億）
74,2026年3月期のLBS事業の経常利益の見通しは？,340億（+52億）
75,2025年3月期のEBITDA見通しは？,"3,000億円"
76,2025年3月期のNOPAT見通しは？,"1,361億円"
77,2025年3月期の原油価格見通しは？,75.0（＄/bbl）
78,2025年3月期の為替見通しは？,150（円/＄）
79,2025年3月期の総資産見通しは？,"32,510億円"
80,2025年3月期の自己資本見通しは？,"16,645億円"
81,2025年3月期の有利子負債見通しは？,"10,610億円"
82,2025年3月期の営業活動によるキャッシュフロー見通しは？,"2,930億円"
83,2025年3月期の投資活動によるキャッシュフロー見通しは？,"2,540億円"
84,2025年3月期のフリーキャッシュフロー見通しは？,390億円
85,2025年3月期の品質向上投資額見通しは？,900億円
86,2025年3月期の成長投資額見通しは？,"2,090億円"
87,2025年3月期の成長投資額のうち国内エネルギー事業への投資額見通しは？,640億円
88,2025年3月期の成長投資額のうち海外エネルギー事業への投資額見通しは？,950億円
89,2025年3月期の成長投資額のうちライフ＆ビジネスソリューション事業への投資額見通しは？,500億円
90,2025年3月期の設備投資額見通しは？,"2,710億円"
91,2025年3月期の減価償却額見通しは？,"1,370億円"
92,2025年3月期のお客さまアカウント件数見通しは？,"11,007千件"
93,2025年度の国内ガス販売量は？,"6,598百万m3"
94,2025年度の家庭用のガス販売量(m3)は？,1669百万m3
95,2025年度の業務用のガス販売量(m3)は？,4929百万m3
96,2025年度のガス供給件数は？,"5,102千件"
97,2025年度の国内電力販売量は？,"16,602百万kWh"
98,2025年度の低圧電気供給件数は？,"2,080千件"
