No.,タイトル,問題,解答,,,,,
1,Daigasグループによるエネルギーのカーボンニュートラル化の全体像,Daigasグループは総合エネルギー企業としてエネルギーのS+3E※1を踏まえながら熱・電気のカーボンニュートラル化、ネガティブエミッション※2の取り組みを加速させ、皆さまと共に社会全体のカーボンニュートラル化を促進,,,,,,
2,エネルギー供給の基本的な考え方,"エネルギー供給の基本的な考え方S+3Eとは、①、②、③、④
【①】を大前提とし、厳冬・酷暑や自然災害でもエネルギー供給を停止させない【④】を最も重要視しつつ時代によって変化するお客さまのニーズに合わせて【②】・【③】の様々な選択肢をお客さまにご提案する","①Safety（安全性）
②Environment（環境性）
③Economic Efficiency（経済性）
④Energy Security（安定性（供給））",,,,,
3,“社会全体のCO2排出削減貢献”を測る指標の必要性,熱エネルギーのカーボンニュートラル化に向けて、確実な低炭素化に繋がる燃料転換（【①】→【②】）はトランジション期に有効な手段,"①石炭・石油
②天然ガス",,,,,大阪ガス
4,DaigasグループのCO2削減ロードマップ,"2030年目標
? CO2排出削減量: 【①】万トン
? CO2排出削減貢献量:【②】万トン
? 再エネ普及貢献量:【③】kW
? 国内電力事業の再エネ比率: 【④】%程度
? e-メタンの導入 : 【⑤】%
? 自社オフィスビル/社用車のCO2排出ネット・ゼロ化","①▲500万トン
② ▲1,000万トン
③ 500万kW
④40％
⑤1％
",,,,,Daigasエナジー
5,熱エネルギーのカーボンニュートラル化の方向性,日本の民生・産業エネルギーの【①】割を占める熱エネルギーの中でも高温域は電化が困難なため、脱炭素化には【②】キャリア※1の利用が不可欠,"①６
②水素
※1：水素キャリア=水素社会推進法において「水素等」は「水素及びその化合物(アンモニア、カーボンリサイクル燃料(e-メタン、SAF、e-fuel等))」と定義",,,,,大阪ガスマーケティング
6,都市ガスのカーボンニュートラル化を担う “e-メタン”,"【①】とリサイクルされた【②】※1を合成して製造する【③】は、天然ガスとほぼ同じ成分であることから既存の都市ガスサプライチェーンをそのまま利用して供給が可能な水素キャリア
都市ガスを利用されているお客さまは燃焼機器などの設備を変更すること無しに、カーボンニュートラルな燃料である【③】の利用が可能","①水素
②CO2
③e-メタン",,,,,Daigasガスアンドパワーソリューション
7,天然ガスシフト・e-メタン利用によるトランジション,石炭・石油から天然ガスへの燃料転換による大幅な低炭素化と共に、【①】、【②】の排出量削減による環境負荷低減も実現,"①NOx
②SOx",,,,,大阪ガスネットワーク
8,天然ガスシフト・e-メタン利用によるトランジション,"環境性
【①】により、環境価値の認証や移転を実現
経済性
天然ガスとほぼ同じ成分であるため、お客さまの燃焼機器を交換する必要がなく、既存のオペレーションが変わらないシームレスな移行が可能
安全性
既存インフラを使って天然ガスとe-メタンを同時に供給ができることから、e-メタンの供給が不足する場合でも一時的に天然ガス利用へ戻せるため、高い供給安定性を確保",①クリーンガス証書制度,,,,,その他
9,都市ガスのシームレスなカーボンニュートラル化,大阪ガスネットワークの導管網も総延長約【①】km（2025年1月時点）,"①63,000ｋｍ",,,,,
10,e-メタンのサプライチェーン構築に向けた挑戦,e-メタン等の国際市場形成を目指す団体【①】を設立し、当社を含む日米欧の19社が参画,①e-NG Coalition,,,,,
11,再生可能エネルギー普及拡大の取り組み,"2004年の再生可能エネルギー事業参入以来、400件以上の太陽光・バイオマス・陸上風力・洋上風力を開発・保有
2030年度再エネ普及貢献量【①】kWを目指す",①500万kW,,,,,
12,再生可能エネルギー普及拡大の取り組み,洋上風力発電は、【①】県村上市及び胎内市沖(着床式、約【②】kW)、【③】県五島市沖(浮体式、約【④】kW)において、パートナー企業とともに開発中,"①新潟
②68万kW
③長崎
④1.7万kW",,,,,
13,再生可能エネルギーとゼロ・エミッション火力発電のベストミックス,主力電源である泉北天然ガス発電・姫路天然ガス発電について、今後はe-メタン・バイオメタン利用、水素利用、天然ガス+CCS等の可能性を検討することで2050年【①】を目指す,①ゼロ・エミッション化,,,,,
14,ネガティブエミッションに向けた取り組み,工場や火力発電所等から排出されるCO2を、、【①】として国内外における地下の安定した地層へ貯留することにより、CO2削減を目指す,"①CCS
CCS＝二酸化炭素の回収・貯留",,,,,
15,新たなCO2バリューチェーンの構築,"Daigasグループが、鉄鋼・セメント・化学等の産業界をはじめとしたお客さまから排出されるCO2をアグリゲーターとして集め、【①】※1によるe-メタンの製造・供給と、【②】※2によるネガティブエミッションを組み合わせてCO2バリューチェーンを構築を目指す
 e-メタンの環境価値の管理やCO2流通の可視化を実現するCO2マネジメントシステム【③】を開発し、カーボンリサイクル燃料への適用拡大も推進","①CCU
②CCS
③CO２NNEX（コネックス）
※1：CCU＝二酸化炭素の回収・利用（Carbon dioxide Capture and Utilization） 
※2：CCS＝二酸化炭素の回収・貯留(Carbon dioxide Capture and Storage) 
※3：「CO2NNEX」は三菱重工業と共同開発",,,,,
16,カーボンニュートラル関連技術に関する取り組み,【①】メタネーションの大規模化による2030年のe-メタン社会実装を実現し、高効率な【②】メタネーションによる2040年からのe-メタン普及加速を目指した戦略的な技術開発に注力,"①サバティエメタネーション
②SOECメタネーション",,,,,
17,Daigasグループが創出するソリューション 『３つの柱』,Daigasグループはカーボンニュートラル（CN）に取り組むことで、社会課題を解決するための【①】を共創します。【②】に、【③】に、【④】にこの3つの視点を柱として様々なソリューションを開発・提供していきます,"①CNのミライ価値
②地球
③社会
④ヒト",,,,,
18,工業用・業務用エネルギーのソリューション ～経営課題の解決～,日本全国の工業用・業務用のお客さまのニーズに応じて、【①】、【②】、【③】を軸にカスタマイズした価値提供型ソリューションをワンストップサービスとしてご提供,"①CN
②３R
③DX",,,,,
19,工業用・業務用エネルギーのソリューション～D-Lineup～,工業用・業務用エネルギーのソリューション～D-Lineup～には、天然ガスを高度利用する【①】、オンサイト型太陽光【②】、電力需給の最適化【③】【④】、再エネ電気供給の総合ソリューション【⑤】、食品廃棄物の削減、再利用【⑥】、有機溶剤の再利用【⑦】、IoTデータ取得と脱炭素化支援【⑧】、AIと制御による最適化【⑨】がある,"①コージェネレーション
②D-Solar
③D-Battery
④D-Response
⑤D-Green
⑥D-Bio
⑦D-Remove
⑧D-Fire
⑨D-Airing",,,,,
20,家庭用エネルギーのソリューション～電気とガスのベストミックス～,次世代のスマートな暮らしを実現するための家庭用のお客さま向けサービスには、【①】（ガス温水浴室暖房乾燥機）【②】（ガス衣類乾燥機）【③】（ガス温水床暖房）【④】（家庭用燃料電池）,"①カワック
②乾太くん
③ヌック
④エネファーム",,,,,
21,運輸用エネルギーのソリューション,現状は、船舶燃料には主に【①】が使用されおり、国際海事機関(IMO)は、2050年頃までに【②】排出量ゼロを目標に設定,"①重油
②GHG（Greenhouse Gas（温室効果ガス）の排出量）",,,,,
22,地域共創に関するソリューション,Daigasグループの大阪ガスネットワークが行っている次世代教育が「令和5年度【①】表彰奨励賞」を受賞,①青少年の体験活動推進企業,,,,,
