判定,No.,ページ番号,問題,解答
,1,,"2024年度の経常利益の実績は？
前年度比","1896億円
前年度比▲369億円"
,2,,2024年度の親会社株主に帰属する当期純利益の実績は？,"1,344億円"
,3,,"2024年度の売上高は？
前年度比","20,690億円
前年度比▲140億円"
,4,,"2024年度の営業利益は？
前年度比","1,607億円
前年度比+118億円"
,5,,2024年度のROICの値は？,5.40%
,6,,2024年度のROEの値は？,8.20%
,7,,2024年度の自己資本比率は？,55.50%
,8,,2024年度のD/E比率は？,0.5
,9,,2024年度の品質向上投資額は？,"2,831億円"
,10,,2024年度の国内エネルギーの成長投資額は？,341億円
,11,,2024年度の海外エネルギーの成長投資額は？,"1,129億円"
,12,,2024年度のライフ&ビジネスソリューションの成長投資額は？,623億円
,13,,2024年度の設備投資額は？,"2,217億円"
,14,,2024年度の減価償却費は？,"1,275億円"
,15,,2024年度の営業活動によるキャッシュフローは？,"2,836億円"
,16,,2024年度の投資活動によるキャッシュフローは？,"2,556億円"
,17,,お客さまアカウント件数は？,"10,711千件"
,18,,2024年度の連結ガス販売量(m3)は？,"6,650百万m3"
,19,,家庭用のガス販売量(m3)は？,"1,659百万m3"
,20,,業務用のガス販売量(m3)は？,"4,992百万m3"
,21,,2024年度の国内電力販売量は？,"16,982百万kWh"
,22,,2024年度のガス供給件数は？,"5,114千件"
,23,,2024年度の低圧電気供給件数は？,"1,922千件"
,24,,2024年度の国内エネルギーの売上高は？,"17,379億円"
,25,,2024年度の海外エネルギーの売上高は？,"1,281億円"
,26,,2024年度のライフ&ビジネスソリューションの売上高は？,"2,824億円"
,27,,2024年度の国内エネルギーのセグメント利益は？内、電力は？,775億円（内、電力411億円)
,28,,2024年度の海外エネルギーのセグメント利益は？,719億円
,29,,2024年度のライフ&ビジネスソリューションのセグメント利益は？,287億円
,30,,2024年3月期の国内エネルギー事業のセグメント利益のうちガス・電力のタイムラグ差損益の実績額は？,"ガス29億円,電力12億円"
